origin,destination,distance
Imm Thai NYC,Hunter College Art Galleries,10477.0
Imm Thai NYC,Atithi Indian Cuisine,5721.0
Imm Thai NYC,Atithi Indian Cuisine,5721.0
Imm Thai NYC,Sathi,3849.0
Imm Thai NYC,Mughlai Grill,5027.0
Imm Thai NYC,Atithi Indian Cuisine,5721.0
Imm Thai NYC,Sathi,3849.0
Imm Thai NYC,Mughlai Grill,5027.0
Imm Thai NYC,Clove Garden of India,7189.0
Imm Thai NYC,Alpin Bistro,1623622.0
Imm Thai NYC,Curia On the Drag,1622775.0
Imm Thai NYC,Blue Boy Pizza,1625050.0
Imm Thai NYC,Scuola Pizza,1624111.0
The Art Students League of New York,Atithi Indian Cuisine,12348.0
The Art Students League of New York,Empyrean Indian Kitchen & Bar,9051.0
The Art Students League of New York,The Thonglor New York,830.0
The Art Students League of New York,Imm Thai NYC,10628.0
The Art Students League of New York,The Jazz Gallery,3160.0
The Art Students League of New York,David Zwirner,4961.0
The Art Students League of New York,Conrad New York Downtown,8111.0
The Art Students League of New York,Smyth Tribeca,8035.0
The Art Students League of New York,Central Park,8518.0
The Art Students League of New York,Prospect Park,16682.0
The Art Students League of New York,Brooklyn Botanic Garden,16682.0
The Art Students League of New York,Washington Square Park,4688.0
The Art Students League of New York,Hunter College Art Galleries,2835.0
The Art Students League of New York,Atithi Indian Cuisine,12348.0
The Art Students League of New York,Atithi Indian Cuisine,12348.0
The Art Students League of New York,Sathi,4346.0
The Art Students League of New York,Mughlai Grill,7765.0
The Art Students League of New York,Atithi Indian Cuisine,12348.0
The Art Students League of New York,Sathi,4346.0
The Art Students League of New York,Mughlai Grill,7765.0
The Art Students League of New York,Clove Garden of India,11127.0
The Art Students League of New York,Alpin Bistro,1622778.0
The Art Students League of New York,Curia On the Drag,1621931.0
The Art Students League of New York,Blue Boy Pizza,1624207.0
The Art Students League of New York,Scuola Pizza,1623267.0
The Jazz Gallery,Atithi Indian Cuisine,11262.0
The Jazz Gallery,Empyrean Indian Kitchen & Bar,9269.0
The Jazz Gallery,The Thonglor New York,3148.0
The Jazz Gallery,Imm Thai NYC,5215.0
The Jazz Gallery,The Art Students League of New York,2971.0
The Jazz Gallery,David Zwirner,2478.0
The Jazz Gallery,Conrad New York Downtown,5008.0
The Jazz Gallery,Smyth Tribeca,4266.0
The Jazz Gallery,Central Park,4750.0
The Jazz Gallery,Prospect Park,15596.0
The Jazz Gallery,Brooklyn Botanic Garden,15596.0
The Jazz Gallery,Washington Square Park,2303.0
The Jazz Gallery,Hunter College Art Galleries,4851.0
The Jazz Gallery,Atithi Indian Cuisine,11262.0
The Jazz Gallery,Atithi Indian Cuisine,11262.0
The Jazz Gallery,Sathi,2361.0
The Jazz Gallery,Mughlai Grill,5768.0
The Jazz Gallery,Atithi Indian Cuisine,11262.0
The Jazz Gallery,Sathi,2361.0
The Jazz Gallery,Mughlai Grill,5768.0
The Jazz Gallery,Clove Garden of India,8545.0
The Jazz Gallery,Alpin Bistro,1622997.0
The Jazz Gallery,Curia On the Drag,1622149.0
The Jazz Gallery,Blue Boy Pizza,1624425.0
The Jazz Gallery,Scuola Pizza,1623486.0
David Zwirner,Atithi Indian Cuisine,8211.0
David Zwirner,Empyrean Indian Kitchen & Bar,8700.0
David Zwirner,The Thonglor New York,3292.0
David Zwirner,Imm Thai NYC,5634.0
David Zwirner,The Art Students League of New York,3890.0
David Zwirner,The Jazz Gallery,2419.0
David Zwirner,Conrad New York Downtown,4762.0
David Zwirner,Smyth Tribeca,4686.0
David Zwirner,Central Park,5170.0
David Zwirner,Prospect Park,11863.0
David Zwirner,Brooklyn Botanic Garden,11863.0
David Zwirner,Washington Square Park,2654.0
David Zwirner,Hunter College Art Galleries,6289.0
David Zwirner,Atithi Indian Cuisine,8211.0
David Zwirner,Atithi Indian Cuisine,8211.0
David Zwirner,Sathi,2318.0
David Zwirner,Mughlai Grill,4896.0
David Zwirner,Atithi Indian Cuisine,8211.0
David Zwirner,Sathi,2318.0
David Zwirner,Mughlai Grill,4896.0
David Zwirner,Clove Garden of India,10776.0
David Zwirner,Alpin Bistro,1622427.0
David Zwirner,Curia On the Drag,1621580.0
David Zwirner,Blue Boy Pizza,1623856.0
David Zwirner,Scuola Pizza,1622916.0
Conrad New York Downtown,Atithi Indian Cuisine,8514.0
Conrad New York Downtown,Empyrean Indian Kitchen & Bar,6256.0
Conrad New York Downtown,The Thonglor New York,7478.0
Conrad New York Downtown,Imm Thai NYC,1334.0
Conrad New York Downtown,The Art Students League of New York,8126.0
Conrad New York Downtown,The Jazz Gallery,5157.0
Conrad New York Downtown,David Zwirner,3809.0
Conrad New York Downtown,Smyth Tribeca,837.0
Conrad New York Downtown,Central Park,1138.0
Conrad New York Downtown,Prospect Park,11315.0
Conrad New York Downtown,Brooklyn Botanic Garden,11315.0
Conrad New York Downtown,Washington Square Park,3514.0
Conrad New York Downtown,Hunter College Art Galleries,12666.0
Conrad New York Downtown,Atithi Indian Cuisine,8514.0
Conrad New York Downtown,Atithi Indian Cuisine,8514.0
Conrad New York Downtown,Sathi,8893.0
Conrad New York Downtown,Mughlai Grill,7216.0
Conrad New York Downtown,Atithi Indian Cuisine,8514.0
Conrad New York Downtown,Sathi,8893.0
Conrad New York Downtown,Mughlai Grill,7216.0
Conrad New York Downtown,Clove Garden of India,7071.0
Conrad New York Downtown,Alpin Bistro,1623183.0
Conrad New York Downtown,Curia On the Drag,1622335.0
Conrad New York Downtown,Blue Boy Pizza,1624611.0
Conrad New York Downtown,Scuola Pizza,1623672.0
Smyth Tribeca,Atithi Indian Cuisine,5823.0
Smyth Tribeca,Empyrean Indian Kitchen & Bar,5725.0
Smyth Tribeca,The Thonglor New York,7384.0
Smyth Tribeca,Imm Thai NYC,948.0
Smyth Tribeca,The Art Students League of New York,8031.0
Smyth Tribeca,The Jazz Gallery,4497.0
Smyth Tribeca,David Zwirner,3714.0
Smyth Tribeca,Conrad New York Downtown,683.0
Smyth Tribeca,Central Park,484.0
Smyth Tribeca,Prospect Park,8198.0
Smyth Tribeca,Brooklyn Botanic Garden,8198.0
Smyth Tribeca,Washington Square Park,2412.0
Smyth Tribeca,Hunter College Art Galleries,13005.0
Smyth Tribeca,Atithi Indian Cuisine,5823.0
Smyth Tribeca,Atithi Indian Cuisine,5823.0
Smyth Tribeca,Sathi,3821.0
Smyth Tribeca,Mughlai Grill,7555.0
Smyth Tribeca,Atithi Indian Cuisine,5823.0
Smyth Tribeca,Sathi,3821.0
Smyth Tribeca,Mughlai Grill,7555.0
Smyth Tribeca,Clove Garden of India,6541.0
Smyth Tribeca,Alpin Bistro,1623522.0
Smyth Tribeca,Curia On the Drag,1622675.0
Smyth Tribeca,Blue Boy Pizza,1624950.0
Smyth Tribeca,Scuola Pizza,1624011.0
Central Park,Atithi Indian Cuisine,5865.0
Central Park,Empyrean Indian Kitchen & Bar,5995.0
Central Park,The Thonglor New York,7862.0
Central Park,Imm Thai NYC,605.0
Central Park,The Art Students League of New York,8510.0
Central Park,The Jazz Gallery,4767.0
Central Park,David Zwirner,4193.0
Central Park,Conrad New York Downtown,916.0
Central Park,Smyth Tribeca,478.0
Central Park,Prospect Park,8184.0
Central Park,Brooklyn Botanic Garden,8184.0
Central Park,Washington Square Park,2682.0
Central Park,Hunter College Art Galleries,10658.0
Central Park,Atithi Indian Cuisine,5865.0
Central Park,Atithi Indian Cuisine,5865.0
Central Park,Sathi,3993.0
Central Park,Mughlai Grill,5207.0
Central Park,Atithi Indian Cuisine,5865.0
Central Park,Sathi,3993.0
Central Park,Mughlai Grill,5207.0
Central Park,Clove Garden of India,6811.0
Central Park,Alpin Bistro,1623755.0
Central Park,Curia On the Drag,1622907.0
Central Park,Blue Boy Pizza,1625183.0
Central Park,Scuola Pizza,1624244.0
Prospect Park,Atithi Indian Cuisine,5231.0
Prospect Park,Empyrean Indian Kitchen & Bar,12825.0
Prospect Park,The Thonglor New York,17642.0
Prospect Park,Imm Thai NYC,8357.0
Prospect Park,The Art Students League of New York,17463.0
Prospect Park,The Jazz Gallery,16029.0
Prospect Park,David Zwirner,11016.0
Prospect Park,Conrad New York Downtown,8869.0
Prospect Park,Smyth Tribeca,8044.0
Prospect Park,Central Park,8001.0
Prospect Park,Brooklyn Botanic Garden,0.0
Prospect Park,Washington Square Park,9376.0
Prospect Park,Hunter College Art Galleries,17420.0
Prospect Park,Atithi Indian Cuisine,5231.0
Prospect Park,Atithi Indian Cuisine,5231.0
Prospect Park,Sathi,9382.0
Prospect Park,Mughlai Grill,7264.0
Prospect Park,Atithi Indian Cuisine,5231.0
Prospect Park,Sathi,9382.0
Prospect Park,Mughlai Grill,7264.0
Prospect Park,Clove Garden of India,13641.0
Prospect Park,Alpin Bistro,1623879.0
Prospect Park,Curia On the Drag,1623032.0
Prospect Park,Blue Boy Pizza,1625308.0
Prospect Park,Scuola Pizza,1624368.0
Brooklyn Botanic Garden,Atithi Indian Cuisine,5231.0
Brooklyn Botanic Garden,Empyrean Indian Kitchen & Bar,12825.0
Brooklyn Botanic Garden,The Thonglor New York,17642.0
Brooklyn Botanic Garden,Imm Thai NYC,8357.0
Brooklyn Botanic Garden,The Art Students League of New York,17463.0
Brooklyn Botanic Garden,The Jazz Gallery,16029.0
Brooklyn Botanic Garden,David Zwirner,11016.0
Brooklyn Botanic Garden,Conrad New York Downtown,8869.0
Brooklyn Botanic Garden,Smyth Tribeca,8044.0
Brooklyn Botanic Garden,Central Park,8001.0
Brooklyn Botanic Garden,Prospect Park,0.0
Brooklyn Botanic Garden,Washington Square Park,9376.0
Brooklyn Botanic Garden,Hunter College Art Galleries,17420.0
Brooklyn Botanic Garden,Atithi Indian Cuisine,5231.0
Brooklyn Botanic Garden,Atithi Indian Cuisine,5231.0
Brooklyn Botanic Garden,Sathi,9382.0
Brooklyn Botanic Garden,Mughlai Grill,7264.0
Brooklyn Botanic Garden,Atithi Indian Cuisine,5231.0
Brooklyn Botanic Garden,Sathi,9382.0
Brooklyn Botanic Garden,Mughlai Grill,7264.0
Brooklyn Botanic Garden,Clove Garden of India,13641.0
Brooklyn Botanic Garden,Alpin Bistro,1623879.0
Brooklyn Botanic Garden,Curia On the Drag,1623032.0
Brooklyn Botanic Garden,Blue Boy Pizza,1625308.0
Brooklyn Botanic Garden,Scuola Pizza,1624368.0
Washington Square Park,Atithi Indian Cuisine,5774.0
Washington Square Park,Empyrean Indian Kitchen & Bar,6142.0
Washington Square Park,The Thonglor New York,4818.0
Washington Square Park,Imm Thai NYC,3413.0
Washington Square Park,The Art Students League of New York,4641.0
Washington Square Park,The Jazz Gallery,2445.0
Washington Square Park,David Zwirner,2854.0
Washington Square Park,Conrad New York Downtown,3420.0
Washington Square Park,Smyth Tribeca,2679.0
Washington Square Park,Central Park,2948.0
Washington Square Park,Prospect Park,9218.0
Washington Square Park,Brooklyn Botanic Garden,9218.0
Washington Square Park,Hunter College Art Galleries,6462.0
Washington Square Park,Atithi Indian Cuisine,5774.0
Washington Square Park,Atithi Indian Cuisine,5774.0
Washington Square Park,Sathi,2158.0
Washington Square Park,Mughlai Grill,2673.0
Washington Square Park,Atithi Indian Cuisine,5774.0
Washington Square Park,Sathi,2158.0
Washington Square Park,Mughlai Grill,2673.0
Washington Square Park,Clove Garden of India,6958.0
Washington Square Park,Alpin Bistro,1624664.0
Washington Square Park,Curia On the Drag,1623817.0
Washington Square Park,Blue Boy Pizza,1626093.0
Washington Square Park,Scuola Pizza,1625153.0
Hunter College Art Galleries,Atithi Indian Cuisine,13064.0
Hunter College Art Galleries,Empyrean Indian Kitchen & Bar,11276.0
Hunter College Art Galleries,The Thonglor New York,2826.0
Hunter College Art Galleries,Imm Thai NYC,11617.0
Hunter College Art Galleries,The Art Students League of New York,1962.0
Hunter College Art Galleries,The Jazz Gallery,3876.0
Hunter College Art Galleries,David Zwirner,6303.0
Hunter College Art Galleries,Conrad New York Downtown,13694.0
Hunter College Art Galleries,Smyth Tribeca,14000.0
Hunter College Art Galleries,Central Park,12023.0
Hunter College Art Galleries,Prospect Park,18309.0
Hunter College Art Galleries,Brooklyn Botanic Garden,18309.0
Hunter College Art Galleries,Washington Square Park,5402.0
Hunter College Art Galleries,Atithi Indian Cuisine,13064.0
Hunter College Art Galleries,Atithi Indian Cuisine,13064.0
Hunter College Art Galleries,Sathi,4455.0
Hunter College Art Galleries,Mughlai Grill,8754.0
Hunter College Art Galleries,Atithi Indian Cuisine,13064.0
Hunter College Art Galleries,Sathi,4455.0
Hunter College Art Galleries,Mughlai Grill,8754.0
Hunter College Art Galleries,Clove Garden of India,13352.0
Hunter College Art Galleries,Alpin Bistro,1625003.0
Hunter College Art Galleries,Curia On the Drag,1624156.0
Hunter College Art Galleries,Blue Boy Pizza,1626432.0
Hunter College Art Galleries,Scuola Pizza,1625492.0
Atithi Indian Cuisine,Atithi Indian Cuisine,0.0
Atithi Indian Cuisine,Empyrean Indian Kitchen & Bar,9457.0
Atithi Indian Cuisine,The Thonglor New York,9629.0
Atithi Indian Cuisine,Imm Thai NYC,8420.0
Atithi Indian Cuisine,The Art Students League of New York,9450.0
Atithi Indian Cuisine,The Jazz Gallery,8016.0
Atithi Indian Cuisine,David Zwirner,7870.0
Atithi Indian Cuisine,Conrad New York Downtown,10347.0
Atithi Indian Cuisine,Smyth Tribeca,8107.0
Atithi Indian Cuisine,Central Park,5766.0
Atithi Indian Cuisine,Prospect Park,4981.0
Atithi Indian Cuisine,Brooklyn Botanic Garden,4981.0
Atithi Indian Cuisine,Washington Square Park,5701.0
Atithi Indian Cuisine,Hunter College Art Galleries,10942.0
Atithi Indian Cuisine,Atithi Indian Cuisine,0.0
Atithi Indian Cuisine,Sathi,5667.0
Atithi Indian Cuisine,Mughlai Grill,3389.0
Atithi Indian Cuisine,Atithi Indian Cuisine,0.0
Atithi Indian Cuisine,Sathi,5667.0
Atithi Indian Cuisine,Mughlai Grill,3389.0
Atithi Indian Cuisine,Clove Garden of India,10273.0
Atithi Indian Cuisine,Alpin Bistro,1627099.0
Atithi Indian Cuisine,Curia On the Drag,1626251.0
Atithi Indian Cuisine,Blue Boy Pizza,1628527.0
Atithi Indian Cuisine,Scuola Pizza,1627588.0
Atithi Indian Cuisine,Atithi Indian Cuisine,0.0
Atithi Indian Cuisine,Empyrean Indian Kitchen & Bar,9457.0
Atithi Indian Cuisine,The Thonglor New York,9629.0
Atithi Indian Cuisine,Imm Thai NYC,8420.0
Atithi Indian Cuisine,The Art Students League of New York,9450.0
Atithi Indian Cuisine,The Jazz Gallery,8016.0
Atithi Indian Cuisine,David Zwirner,7870.0
Atithi Indian Cuisine,Conrad New York Downtown,10347.0
Atithi Indian Cuisine,Smyth Tribeca,8107.0
Atithi Indian Cuisine,Central Park,5766.0
Atithi Indian Cuisine,Prospect Park,4981.0
Atithi Indian Cuisine,Brooklyn Botanic Garden,4981.0
Atithi Indian Cuisine,Washington Square Park,5701.0
Atithi Indian Cuisine,Hunter College Art Galleries,10942.0
Atithi Indian Cuisine,Atithi Indian Cuisine,0.0
Atithi Indian Cuisine,Sathi,5667.0
Atithi Indian Cuisine,Mughlai Grill,3389.0
Atithi Indian Cuisine,Atithi Indian Cuisine,0.0
Atithi Indian Cuisine,Sathi,5667.0
Atithi Indian Cuisine,Mughlai Grill,3389.0
Atithi Indian Cuisine,Clove Garden of India,10273.0
Atithi Indian Cuisine,Alpin Bistro,1627099.0
Atithi Indian Cuisine,Curia On the Drag,1626251.0
Atithi Indian Cuisine,Blue Boy Pizza,1628527.0
Atithi Indian Cuisine,Scuola Pizza,1627588.0
Sathi,Atithi Indian Cuisine,5897.0
Sathi,Empyrean Indian Kitchen & Bar,7460.0
Sathi,The Thonglor New York,4594.0
Sathi,Imm Thai NYC,4021.0
Sathi,The Art Students League of New York,4347.0
Sathi,The Jazz Gallery,1377.0
Sathi,David Zwirner,2529.0
Sathi,Conrad New York Downtown,8876.0
Sathi,Smyth Tribeca,3599.0
Sathi,Central Park,3556.0
Sathi,Prospect Park,9253.0
Sathi,Brooklyn Botanic Garden,9253.0
Sathi,Washington Square Park,1580.0
Sathi,Hunter College Art Galleries,4304.0
Sathi,Atithi Indian Cuisine,5897.0
Sathi,Atithi Indian Cuisine,5897.0
Sathi,Mughlai Grill,2582.0
Sathi,Atithi Indian Cuisine,5897.0
Sathi,Sathi,0.0
Sathi,Mughlai Grill,2582.0
Sathi,Clove Garden of India,8276.0
Sathi,Alpin Bistro,1624310.0
Sathi,Curia On the Drag,1623463.0
Sathi,Blue Boy Pizza,1625739.0
Sathi,Scuola Pizza,1624800.0
Mughlai Grill,Atithi Indian Cuisine,4271.0
Mughlai Grill,Empyrean Indian Kitchen & Bar,6849.0
Mughlai Grill,The Thonglor New York,7637.0
Mughlai Grill,Imm Thai NYC,4881.0
Mughlai Grill,The Art Students League of New York,8246.0
Mughlai Grill,The Jazz Gallery,3701.0
Mughlai Grill,David Zwirner,4487.0
Mughlai Grill,Conrad New York Downtown,6958.0
Mughlai Grill,Smyth Tribeca,2989.0
Mughlai Grill,Central Park,2945.0
Mughlai Grill,Prospect Park,7665.0
Mughlai Grill,Brooklyn Botanic Garden,7665.0
Mughlai Grill,Washington Square Park,2318.0
Mughlai Grill,Hunter College Art Galleries,7553.0
Mughlai Grill,Atithi Indian Cuisine,4271.0
Mughlai Grill,Atithi Indian Cuisine,4271.0
Mughlai Grill,Sathi,2324.0
Mughlai Grill,Atithi Indian Cuisine,4271.0
Mughlai Grill,Sathi,2324.0
Mughlai Grill,Mughlai Grill,0.0
Mughlai Grill,Clove Garden of India,7665.0
Mughlai Grill,Alpin Bistro,1627910.0
Mughlai Grill,Curia On the Drag,1627063.0
Mughlai Grill,Blue Boy Pizza,1629339.0
Mughlai Grill,Scuola Pizza,1628399.0
Atithi Indian Cuisine,Atithi Indian Cuisine,0.0
Atithi Indian Cuisine,Empyrean Indian Kitchen & Bar,9457.0
Atithi Indian Cuisine,The Thonglor New York,9629.0
Atithi Indian Cuisine,Imm Thai NYC,8420.0
Atithi Indian Cuisine,The Art Students League of New York,9450.0
Atithi Indian Cuisine,The Jazz Gallery,8016.0
Atithi Indian Cuisine,David Zwirner,7870.0
Atithi Indian Cuisine,Conrad New York Downtown,10347.0
Atithi Indian Cuisine,Smyth Tribeca,8107.0
Atithi Indian Cuisine,Central Park,5766.0
Atithi Indian Cuisine,Prospect Park,4981.0
Atithi Indian Cuisine,Brooklyn Botanic Garden,4981.0
Atithi Indian Cuisine,Washington Square Park,5701.0
Atithi Indian Cuisine,Hunter College Art Galleries,10942.0
Atithi Indian Cuisine,Atithi Indian Cuisine,0.0
Atithi Indian Cuisine,Atithi Indian Cuisine,0.0
Atithi Indian Cuisine,Sathi,5667.0
Atithi Indian Cuisine,Mughlai Grill,3389.0
Atithi Indian Cuisine,Sathi,5667.0
Atithi Indian Cuisine,Mughlai Grill,3389.0
Atithi Indian Cuisine,Clove Garden of India,10273.0
Atithi Indian Cuisine,Alpin Bistro,1627099.0
Atithi Indian Cuisine,Curia On the Drag,1626251.0
Atithi Indian Cuisine,Blue Boy Pizza,1628527.0
Atithi Indian Cuisine,Scuola Pizza,1627588.0
Sathi,Atithi Indian Cuisine,5897.0
Sathi,Empyrean Indian Kitchen & Bar,7460.0
Sathi,The Thonglor New York,4594.0
Sathi,Imm Thai NYC,4021.0
Sathi,The Art Students League of New York,4347.0
Sathi,The Jazz Gallery,1377.0
Sathi,David Zwirner,2529.0
Sathi,Conrad New York Downtown,8876.0
Sathi,Smyth Tribeca,3599.0
Sathi,Central Park,3556.0
Sathi,Prospect Park,9253.0
Sathi,Brooklyn Botanic Garden,9253.0
Sathi,Washington Square Park,1580.0
Sathi,Hunter College Art Galleries,4304.0
Sathi,Atithi Indian Cuisine,5897.0
Sathi,Atithi Indian Cuisine,5897.0
Sathi,Sathi,0.0
Sathi,Mughlai Grill,2582.0
Sathi,Atithi Indian Cuisine,5897.0
Sathi,Mughlai Grill,2582.0
Sathi,Clove Garden of India,8276.0
Sathi,Alpin Bistro,1624310.0
Sathi,Curia On the Drag,1623463.0
Sathi,Blue Boy Pizza,1625739.0
Sathi,Scuola Pizza,1624800.0
Mughlai Grill,Atithi Indian Cuisine,4271.0
Mughlai Grill,Empyrean Indian Kitchen & Bar,6849.0
Mughlai Grill,The Thonglor New York,7637.0
Mughlai Grill,Imm Thai NYC,4881.0
Mughlai Grill,The Art Students League of New York,8246.0
Mughlai Grill,The Jazz Gallery,3701.0
Mughlai Grill,David Zwirner,4487.0
Mughlai Grill,Conrad New York Downtown,6958.0
Mughlai Grill,Smyth Tribeca,2989.0
Mughlai Grill,Central Park,2945.0
Mughlai Grill,Prospect Park,7665.0
Mughlai Grill,Brooklyn Botanic Garden,7665.0
Mughlai Grill,Washington Square Park,2318.0
Mughlai Grill,Hunter College Art Galleries,7553.0
Mughlai Grill,Atithi Indian Cuisine,4271.0
Mughlai Grill,Atithi Indian Cuisine,4271.0
Mughlai Grill,Sathi,2324.0
Mughlai Grill,Mughlai Grill,0.0
Mughlai Grill,Atithi Indian Cuisine,4271.0
Mughlai Grill,Sathi,2324.0
Mughlai Grill,Clove Garden of India,7665.0
Mughlai Grill,Alpin Bistro,1627910.0
Mughlai Grill,Curia On the Drag,1627063.0
Mughlai Grill,Blue Boy Pizza,1629339.0
Mughlai Grill,Scuola Pizza,1628399.0
Clove Garden of India,Atithi Indian Cuisine,10357.0
Clove Garden of India,Empyrean Indian Kitchen & Bar,3274.0
Clove Garden of India,The Thonglor New York,10627.0
Clove Garden of India,Imm Thai NYC,6617.0
Clove Garden of India,The Art Students League of New York,12174.0
Clove Garden of India,The Jazz Gallery,8864.0
Clove Garden of India,David Zwirner,7857.0
Clove Garden of India,Conrad New York Downtown,6168.0
Clove Garden of India,Smyth Tribeca,5669.0
Clove Garden of India,Central Park,6152.0
Clove Garden of India,Prospect Park,12944.0
Clove Garden of India,Brooklyn Botanic Garden,12944.0
Clove Garden of India,Washington Square Park,6710.0
Clove Garden of India,Hunter College Art Galleries,18490.0
Clove Garden of India,Atithi Indian Cuisine,10357.0
Clove Garden of India,Atithi Indian Cuisine,10357.0
Clove Garden of India,Sathi,8119.0
Clove Garden of India,Mughlai Grill,7656.0
Clove Garden of India,Atithi Indian Cuisine,10357.0
Clove Garden of India,Sathi,8119.0
Clove Garden of India,Mughlai Grill,7656.0
Clove Garden of India,Alpin Bistro,1613248.0
Clove Garden of India,Curia On the Drag,1612401.0
Clove Garden of India,Blue Boy Pizza,1614676.0
Clove Garden of India,Scuola Pizza,1613737.0
Alpin Bistro,Atithi Indian Cuisine,1616692.0
Alpin Bistro,Empyrean Indian Kitchen & Bar,1609480.0
Alpin Bistro,The Thonglor New York,1616040.0
Alpin Bistro,Imm Thai NYC,1612953.0
Alpin Bistro,The Art Students League of New York,1616334.0
Alpin Bistro,The Jazz Gallery,1616514.0
Alpin Bistro,David Zwirner,1616727.0
Alpin Bistro,Conrad New York Downtown,1612503.0
