origin,destination,duration
The Art Students League of New York,Atithi Indian Cuisine,1687.0
The Art Students League of New York,Empyrean Indian Kitchen & Bar,1581.0
The Art Students League of New York,The Thonglor New York,229.0
The Art Students League of New York,Imm Thai NYC,1581.0
The Art Students League of New York,The Jazz Gallery,874.0
The Art Students League of New York,David Zwirner,965.0
The Art Students League of New York,Conrad New York Downtown,1415.0
The Art Students League of New York,Smyth Tribeca,1414.0
The Art Students League of New York,Central Park,1590.0
The Art Students League of New York,Prospect Park,2393.0
The Art Students League of New York,Brooklyn Botanic Garden,2393.0
The Art Students League of New York,Washington Square Park,1191.0
The Art Students League of New York,Hunter College Art Galleries,663.0
The Art Students League of New York,Atithi Indian Cuisine,1687.0
The Art Students League of New York,Atithi Indian Cuisine,1687.0
The Art Students League of New York,Sathi,1051.0
The Art Students League of New York,Mughlai Grill,1359.0
The Art Students League of New York,Atithi Indian Cuisine,1687.0
The Art Students League of New York,Sathi,1051.0
The Art Students League of New York,Mughlai Grill,1359.0
The Art Students League of New York,Clove Garden of India,1906.0
The Art Students League of New York,Alpin Bistro,54062.0
The Art Students League of New York,Curia On the Drag,53947.0
The Art Students League of New York,Blue Boy Pizza,54230.0
The Art Students League of New York,Scuola Pizza,53943.0
The Jazz Gallery,Atithi Indian Cuisine,1617.0
The Jazz Gallery,Empyrean Indian Kitchen & Bar,1583.0
The Jazz Gallery,The Thonglor New York,941.0
The Jazz Gallery,Imm Thai NYC,1248.0
The Jazz Gallery,The Art Students League of New York,897.0
The Jazz Gallery,David Zwirner,642.0
The Jazz Gallery,Conrad New York Downtown,1085.0
The Jazz Gallery,Smyth Tribeca,927.0
The Jazz Gallery,Central Park,1083.0
The Jazz Gallery,Prospect Park,2324.0
The Jazz Gallery,Brooklyn Botanic Garden,2324.0
The Jazz Gallery,Washington Square Park,626.0
The Jazz Gallery,Hunter College Art Galleries,1205.0
The Jazz Gallery,Atithi Indian Cuisine,1617.0
The Jazz Gallery,Atithi Indian Cuisine,1617.0
The Jazz Gallery,Sathi,658.0
The Jazz Gallery,Mughlai Grill,1151.0
The Jazz Gallery,Atithi Indian Cuisine,1617.0
The Jazz Gallery,Sathi,658.0
The Jazz Gallery,Mughlai Grill,1151.0
The Jazz Gallery,Clove Garden of India,1363.0
The Jazz Gallery,Alpin Bistro,54064.0
The Jazz Gallery,Curia On the Drag,53948.0
The Jazz Gallery,Blue Boy Pizza,54232.0
The Jazz Gallery,Scuola Pizza,53944.0
David Zwirner,Atithi Indian Cuisine,1856.0
David Zwirner,Empyrean Indian Kitchen & Bar,1349.0
David Zwirner,The Thonglor New York,748.0
David Zwirner,Imm Thai NYC,1205.0
David Zwirner,The Art Students League of New York,885.0
David Zwirner,The Jazz Gallery,692.0
David Zwirner,Conrad New York Downtown,865.0
David Zwirner,Smyth Tribeca,865.0
David Zwirner,Central Park,1040.0
David Zwirner,Prospect Park,2504.0
David Zwirner,Brooklyn Botanic Garden,2504.0
David Zwirner,Washington Square Park,701.0
David Zwirner,Hunter College Art Galleries,1393.0
David Zwirner,Atithi Indian Cuisine,1856.0
David Zwirner,Atithi Indian Cuisine,1856.0
David Zwirner,Sathi,705.0
David Zwirner,Mughlai Grill,1377.0
David Zwirner,Atithi Indian Cuisine,1856.0
David Zwirner,Sathi,705.0
David Zwirner,Mughlai Grill,1377.0
David Zwirner,Clove Garden of India,1673.0
David Zwirner,Alpin Bistro,53830.0
David Zwirner,Curia On the Drag,53714.0
David Zwirner,Blue Boy Pizza,53997.0
David Zwirner,Scuola Pizza,53710.0
Conrad New York Downtown,Atithi Indian Cuisine,1431.0
Conrad New York Downtown,Empyrean Indian Kitchen & Bar,974.0
Conrad New York Downtown,The Thonglor New York,1303.0
Conrad New York Downtown,Imm Thai NYC,514.0
Conrad New York Downtown,The Art Students League of New York,1410.0
Conrad New York Downtown,The Jazz Gallery,1249.0
Conrad New York Downtown,David Zwirner,613.0
Conrad New York Downtown,Smyth Tribeca,271.0
Conrad New York Downtown,Central Park,375.0
Conrad New York Downtown,Prospect Park,1825.0
Conrad New York Downtown,Brooklyn Botanic Garden,1825.0
Conrad New York Downtown,Washington Square Park,818.0
Conrad New York Downtown,Hunter College Art Galleries,1282.0
Conrad New York Downtown,Atithi Indian Cuisine,1431.0
Conrad New York Downtown,Atithi Indian Cuisine,1431.0
Conrad New York Downtown,Sathi,1045.0
Conrad New York Downtown,Mughlai Grill,860.0
Conrad New York Downtown,Atithi Indian Cuisine,1431.0
Conrad New York Downtown,Sathi,1045.0
Conrad New York Downtown,Mughlai Grill,860.0
Conrad New York Downtown,Clove Garden of India,1068.0
Conrad New York Downtown,Alpin Bistro,53935.0
Conrad New York Downtown,Curia On the Drag,53819.0
Conrad New York Downtown,Blue Boy Pizza,54103.0
Conrad New York Downtown,Scuola Pizza,53816.0
Smyth Tribeca,Atithi Indian Cuisine,1268.0
Smyth Tribeca,Empyrean Indian Kitchen & Bar,920.0
Smyth Tribeca,The Thonglor New York,1277.0
Smyth Tribeca,Imm Thai NYC,322.0
Smyth Tribeca,The Art Students League of New York,1385.0
Smyth Tribeca,The Jazz Gallery,1173.0
Smyth Tribeca,David Zwirner,588.0
Smyth Tribeca,Conrad New York Downtown,254.0
Smyth Tribeca,Central Park,157.0
Smyth Tribeca,Prospect Park,1637.0
Smyth Tribeca,Brooklyn Botanic Garden,1637.0
Smyth Tribeca,Washington Square Park,698.0
Smyth Tribeca,Hunter College Art Galleries,1347.0
Smyth Tribeca,Atithi Indian Cuisine,1268.0
Smyth Tribeca,Atithi Indian Cuisine,1268.0
Smyth Tribeca,Sathi,974.0
Smyth Tribeca,Mughlai Grill,925.0
Smyth Tribeca,Atithi Indian Cuisine,1268.0
Smyth Tribeca,Sathi,974.0
Smyth Tribeca,Mughlai Grill,925.0
Smyth Tribeca,Clove Garden of India,1014.0
Smyth Tribeca,Alpin Bistro,54000.0
Smyth Tribeca,Curia On the Drag,53884.0
Smyth Tribeca,Blue Boy Pizza,54168.0
Smyth Tribeca,Scuola Pizza,53881.0
Central Park,Atithi Indian Cuisine,1190.0
Central Park,Empyrean Indian Kitchen & Bar,1001.0
Central Park,The Thonglor New York,1432.0
Central Park,Imm Thai NYC,206.0
Central Park,The Art Students League of New York,1540.0
Central Park,The Jazz Gallery,1254.0
Central Park,David Zwirner,742.0
Central Park,Conrad New York Downtown,345.0
Central Park,Smyth Tribeca,165.0
Central Park,Prospect Park,1574.0
Central Park,Brooklyn Botanic Garden,1574.0
Central Park,Washington Square Park,779.0
Central Park,Hunter College Art Galleries,1224.0
Central Park,Atithi Indian Cuisine,1190.0
Central Park,Atithi Indian Cuisine,1190.0
Central Park,Sathi,1000.0
Central Park,Mughlai Grill,802.0
Central Park,Atithi Indian Cuisine,1190.0
Central Park,Sathi,1000.0
Central Park,Mughlai Grill,802.0
Central Park,Clove Garden of India,1095.0
Central Park,Alpin Bistro,54092.0
Central Park,Curia On the Drag,53976.0
Central Park,Blue Boy Pizza,54259.0
Central Park,Scuola Pizza,53972.0
Prospect Park,Atithi Indian Cuisine,1215.0
Prospect Park,Empyrean Indian Kitchen & Bar,2300.0
Prospect Park,The Thonglor New York,2539.0
Prospect Park,Imm Thai NYC,1621.0
Prospect Park,The Art Students League of New York,2405.0
Prospect Park,The Jazz Gallery,2014.0
Prospect Park,David Zwirner,2138.0
Prospect Park,Conrad New York Downtown,1848.0
Prospect Park,Smyth Tribeca,1564.0
Prospect Park,Central Park,1561.0
Prospect Park,Brooklyn Botanic Garden,0.0
Prospect Park,Washington Square Park,2009.0
Prospect Park,Hunter College Art Galleries,2262.0
Prospect Park,Atithi Indian Cuisine,1215.0
Prospect Park,Atithi Indian Cuisine,1215.0
Prospect Park,Sathi,1905.0
Prospect Park,Mughlai Grill,1533.0
Prospect Park,Atithi Indian Cuisine,1215.0
Prospect Park,Sathi,1905.0
Prospect Park,Mughlai Grill,1533.0
Prospect Park,Clove Garden of India,2394.0
Prospect Park,Alpin Bistro,54798.0
Prospect Park,Curia On the Drag,54682.0
Prospect Park,Blue Boy Pizza,54966.0
Prospect Park,Scuola Pizza,54679.0
Brooklyn Botanic Garden,Atithi Indian Cuisine,1215.0
Brooklyn Botanic Garden,Empyrean Indian Kitchen & Bar,2300.0
Brooklyn Botanic Garden,The Thonglor New York,2539.0
Brooklyn Botanic Garden,Imm Thai NYC,1621.0
Brooklyn Botanic Garden,The Art Students League of New York,2405.0
Brooklyn Botanic Garden,The Jazz Gallery,2014.0
Brooklyn Botanic Garden,David Zwirner,2138.0
Brooklyn Botanic Garden,Conrad New York Downtown,1848.0
Brooklyn Botanic Garden,Smyth Tribeca,1564.0
Brooklyn Botanic Garden,Central Park,1561.0
Brooklyn Botanic Garden,Prospect Park,0.0
Brooklyn Botanic Garden,Washington Square Park,2009.0
Brooklyn Botanic Garden,Hunter College Art Galleries,2262.0
Brooklyn Botanic Garden,Atithi Indian Cuisine,1215.0
Brooklyn Botanic Garden,Atithi Indian Cuisine,1215.0
Brooklyn Botanic Garden,Sathi,1905.0
Brooklyn Botanic Garden,Mughlai Grill,1533.0
Brooklyn Botanic Garden,Atithi Indian Cuisine,1215.0
Brooklyn Botanic Garden,Sathi,1905.0
Brooklyn Botanic Garden,Mughlai Grill,1533.0
Brooklyn Botanic Garden,Clove Garden of India,2394.0
Brooklyn Botanic Garden,Alpin Bistro,54798.0
Brooklyn Botanic Garden,Curia On the Drag,54682.0
Brooklyn Botanic Garden,Blue Boy Pizza,54966.0
Brooklyn Botanic Garden,Scuola Pizza,54679.0
Washington Square Park,Atithi Indian Cuisine,1273.0
Washington Square Park,Empyrean Indian Kitchen & Bar,974.0
Washington Square Park,The Thonglor New York,1276.0
Washington Square Park,Imm Thai NYC,930.0
Washington Square Park,The Art Students League of New York,1232.0
Washington Square Park,The Jazz Gallery,643.0
Washington Square Park,David Zwirner,625.0
Washington Square Park,Conrad New York Downtown,791.0
Washington Square Park,Smyth Tribeca,632.0
Washington Square Park,Central Park,765.0
Washington Square Park,Prospect Park,2063.0
Washington Square Park,Brooklyn Botanic Garden,2063.0
Washington Square Park,Hunter College Art Galleries,1495.0
Washington Square Park,Atithi Indian Cuisine,1273.0
Washington Square Park,Atithi Indian Cuisine,1273.0
Washington Square Park,Sathi,555.0
Washington Square Park,Mughlai Grill,800.0
Washington Square Park,Atithi Indian Cuisine,1273.0
Washington Square Park,Sathi,555.0
Washington Square Park,Mughlai Grill,800.0
Washington Square Park,Clove Garden of India,1068.0
Washington Square Park,Alpin Bistro,54383.0
Washington Square Park,Curia On the Drag,54267.0
Washington Square Park,Blue Boy Pizza,54551.0
Washington Square Park,Scuola Pizza,54264.0
Hunter College Art Galleries,Atithi Indian Cuisine,1676.0
Hunter College Art Galleries,Empyrean Indian Kitchen & Bar,2024.0
Hunter College Art Galleries,The Thonglor New York,633.0
Hunter College Art Galleries,Imm Thai NYC,1352.0
Hunter College Art Galleries,The Art Students League of New York,541.0
Hunter College Art Galleries,The Jazz Gallery,930.0
Hunter College Art Galleries,David Zwirner,1449.0
Hunter College Art Galleries,Conrad New York Downtown,1409.0
Hunter College Art Galleries,Smyth Tribeca,1459.0
Hunter College Art Galleries,Central Park,1482.0
Hunter College Art Galleries,Prospect Park,2389.0
Hunter College Art Galleries,Brooklyn Botanic Garden,2389.0
Hunter College Art Galleries,Washington Square Park,1249.0
Hunter College Art Galleries,Atithi Indian Cuisine,1676.0
Hunter College Art Galleries,Atithi Indian Cuisine,1676.0
Hunter College Art Galleries,Sathi,1061.0
Hunter College Art Galleries,Mughlai Grill,1129.0
Hunter College Art Galleries,Atithi Indian Cuisine,1676.0
Hunter College Art Galleries,Sathi,1061.0
Hunter College Art Galleries,Mughlai Grill,1129.0
Hunter College Art Galleries,Clove Garden of India,2349.0
Hunter College Art Galleries,Alpin Bistro,54506.0
Hunter College Art Galleries,Curia On the Drag,54390.0
Hunter College Art Galleries,Blue Boy Pizza,54673.0
Hunter College Art Galleries,Scuola Pizza,54386.0
Atithi Indian Cuisine,Atithi Indian Cuisine,0.0
Atithi Indian Cuisine,Empyrean Indian Kitchen & Bar,1730.0
Atithi Indian Cuisine,The Thonglor New York,2025.0
Atithi Indian Cuisine,Imm Thai NYC,1337.0
Atithi Indian Cuisine,The Art Students League of New York,1892.0
Atithi Indian Cuisine,The Jazz Gallery,1500.0
Atithi Indian Cuisine,David Zwirner,1661.0
Atithi Indian Cuisine,Conrad New York Downtown,1458.0
Atithi Indian Cuisine,Smyth Tribeca,1279.0
Atithi Indian Cuisine,Central Park,1301.0
Atithi Indian Cuisine,Prospect Park,1202.0
Atithi Indian Cuisine,Brooklyn Botanic Garden,1202.0
Atithi Indian Cuisine,Washington Square Park,1295.0
Atithi Indian Cuisine,Hunter College Art Galleries,1636.0
Atithi Indian Cuisine,Atithi Indian Cuisine,0.0
Atithi Indian Cuisine,Sathi,1198.0
Atithi Indian Cuisine,Mughlai Grill,647.0
Atithi Indian Cuisine,Atithi Indian Cuisine,0.0
Atithi Indian Cuisine,Sathi,1198.0
Atithi Indian Cuisine,Mughlai Grill,647.0
Atithi Indian Cuisine,Clove Garden of India,1824.0
Atithi Indian Cuisine,Alpin Bistro,54613.0
Atithi Indian Cuisine,Curia On the Drag,54497.0
Atithi Indian Cuisine,Blue Boy Pizza,54781.0
Atithi Indian Cuisine,Scuola Pizza,54494.0
Atithi Indian Cuisine,Atithi Indian Cuisine,0.0
Atithi Indian Cuisine,Empyrean Indian Kitchen & Bar,1730.0
Atithi Indian Cuisine,The Thonglor New York,2025.0
Atithi Indian Cuisine,Imm Thai NYC,1337.0
Atithi Indian Cuisine,The Art Students League of New York,1892.0
Atithi Indian Cuisine,The Jazz Gallery,1500.0
Atithi Indian Cuisine,David Zwirner,1661.0
Atithi Indian Cuisine,Conrad New York Downtown,1458.0
Atithi Indian Cuisine,Smyth Tribeca,1279.0
Atithi Indian Cuisine,Central Park,1301.0
Atithi Indian Cuisine,Prospect Park,1202.0
Atithi Indian Cuisine,Brooklyn Botanic Garden,1202.0
Atithi Indian Cuisine,Washington Square Park,1295.0
Atithi Indian Cuisine,Hunter College Art Galleries,1636.0
Atithi Indian Cuisine,Atithi Indian Cuisine,0.0
Atithi Indian Cuisine,Sathi,1198.0
Atithi Indian Cuisine,Mughlai Grill,647.0
Atithi Indian Cuisine,Atithi Indian Cuisine,0.0
Atithi Indian Cuisine,Sathi,1198.0
Atithi Indian Cuisine,Mughlai Grill,647.0
Atithi Indian Cuisine,Clove Garden of India,1824.0
Atithi Indian Cuisine,Alpin Bistro,54613.0
Atithi Indian Cuisine,Curia On the Drag,54497.0
Atithi Indian Cuisine,Blue Boy Pizza,54781.0
Atithi Indian Cuisine,Scuola Pizza,54494.0
Sathi,Atithi Indian Cuisine,1188.0
Sathi,Empyrean Indian Kitchen & Bar,1336.0
Sathi,The Thonglor New York,1174.0
Sathi,Imm Thai NYC,1055.0
Sathi,The Art Students League of New York,1083.0
Sathi,The Jazz Gallery,391.0
Sathi,David Zwirner,747.0
Sathi,Conrad New York Downtown,1023.0
Sathi,Smyth Tribeca,908.0
Sathi,Central Park,890.0
Sathi,Prospect Park,2032.0
Sathi,Brooklyn Botanic Garden,2032.0
Sathi,Washington Square Park,426.0
Sathi,Hunter College Art Galleries,940.0
Sathi,Atithi Indian Cuisine,1188.0
Sathi,Atithi Indian Cuisine,1188.0
Sathi,Mughlai Grill,709.0
Sathi,Atithi Indian Cuisine,1188.0
Sathi,Sathi,0.0
Sathi,Mughlai Grill,709.0
Sathi,Clove Garden of India,1430.0
Sathi,Alpin Bistro,54362.0
Sathi,Curia On the Drag,54246.0
Sathi,Blue Boy Pizza,54529.0
Sathi,Scuola Pizza,54242.0
Mughlai Grill,Atithi Indian Cuisine,819.0
Mughlai Grill,Empyrean Indian Kitchen & Bar,1245.0
Mughlai Grill,The Thonglor New York,1464.0
Mughlai Grill,Imm Thai NYC,753.0
Mughlai Grill,The Art Students League of New York,1262.0
Mughlai Grill,The Jazz Gallery,957.0
Mughlai Grill,David Zwirner,1024.0
Mughlai Grill,Conrad New York Downtown,811.0
Mughlai Grill,Smyth Tribeca,818.0
Mughlai Grill,Central Park,800.0
Mughlai Grill,Prospect Park,1575.0
Mughlai Grill,Brooklyn Botanic Garden,1575.0
Mughlai Grill,Washington Square Park,658.0
Mughlai Grill,Hunter College Art Galleries,989.0
Mughlai Grill,Atithi Indian Cuisine,819.0
Mughlai Grill,Atithi Indian Cuisine,819.0
Mughlai Grill,Sathi,567.0
Mughlai Grill,Atithi Indian Cuisine,819.0
Mughlai Grill,Sathi,567.0
Mughlai Grill,Mughlai Grill,0.0
Mughlai Grill,Clove Garden of India,1340.0
Mughlai Grill,Alpin Bistro,54247.0
Mughlai Grill,Curia On the Drag,54131.0
Mughlai Grill,Blue Boy Pizza,54415.0
Mughlai Grill,Scuola Pizza,54128.0
Atithi Indian Cuisine,Atithi Indian Cuisine,0.0
Atithi Indian Cuisine,Empyrean Indian Kitchen & Bar,1730.0
Atithi Indian Cuisine,The Thonglor New York,2025.0
Atithi Indian Cuisine,Imm Thai NYC,1337.0
Atithi Indian Cuisine,The Art Students League of New York,1892.0
Atithi Indian Cuisine,The Jazz Gallery,1500.0
Atithi Indian Cuisine,David Zwirner,1661.0
Atithi Indian Cuisine,Conrad New York Downtown,1458.0
Atithi Indian Cuisine,Smyth Tribeca,1279.0
Atithi Indian Cuisine,Central Park,1301.0
Atithi Indian Cuisine,Prospect Park,1202.0
Atithi Indian Cuisine,Brooklyn Botanic Garden,1202.0
Atithi Indian Cuisine,Washington Square Park,1295.0
Atithi Indian Cuisine,Hunter College Art Galleries,1636.0
Atithi Indian Cuisine,Atithi Indian Cuisine,0.0
Atithi Indian Cuisine,Atithi Indian Cuisine,0.0
Atithi Indian Cuisine,Sathi,1198.0
Atithi Indian Cuisine,Mughlai Grill,647.0
Atithi Indian Cuisine,Sathi,1198.0
Atithi Indian Cuisine,Mughlai Grill,647.0
Atithi Indian Cuisine,Clove Garden of India,1824.0
Atithi Indian Cuisine,Alpin Bistro,54613.0
Atithi Indian Cuisine,Curia On the Drag,54497.0
Atithi Indian Cuisine,Blue Boy Pizza,54781.0
Atithi Indian Cuisine,Scuola Pizza,54494.0
Sathi,Atithi Indian Cuisine,1188.0
Sathi,Empyrean Indian Kitchen & Bar,1336.0
Sathi,The Thonglor New York,1174.0
Sathi,Imm Thai NYC,1055.0
Sathi,The Art Students League of New York,1083.0
Sathi,The Jazz Gallery,391.0
Sathi,David Zwirner,747.0
Sathi,Conrad New York Downtown,1023.0
Sathi,Smyth Tribeca,908.0
Sathi,Central Park,890.0
Sathi,Prospect Park,2032.0
Sathi,Brooklyn Botanic Garden,2032.0
Sathi,Washington Square Park,426.0
Sathi,Hunter College Art Galleries,940.0
Sathi,Atithi Indian Cuisine,1188.0
Sathi,Atithi Indian Cuisine,1188.0
Sathi,Sathi,0.0
Sathi,Mughlai Grill,709.0
Sathi,Atithi Indian Cuisine,1188.0
Sathi,Mughlai Grill,709.0
Sathi,Clove Garden of India,1430.0
Sathi,Alpin Bistro,54362.0
Sathi,Curia On the Drag,54246.0
Sathi,Blue Boy Pizza,54529.0
Sathi,Scuola Pizza,54242.0
Mughlai Grill,Atithi Indian Cuisine,819.0
Mughlai Grill,Empyrean Indian Kitchen & Bar,1245.0
Mughlai Grill,The Thonglor New York,1464.0
Mughlai Grill,Imm Thai NYC,753.0
Mughlai Grill,The Art Students League of New York,1262.0
Mughlai Grill,The Jazz Gallery,957.0
Mughlai Grill,David Zwirner,1024.0
Mughlai Grill,Conrad New York Downtown,811.0
Mughlai Grill,Smyth Tribeca,818.0
Mughlai Grill,Central Park,800.0
Mughlai Grill,Prospect Park,1575.0
Mughlai Grill,Brooklyn Botanic Garden,1575.0
Mughlai Grill,Washington Square Park,658.0
Mughlai Grill,Hunter College Art Galleries,989.0
Mughlai Grill,Atithi Indian Cuisine,819.0
Mughlai Grill,Atithi Indian Cuisine,819.0
Mughlai Grill,Sathi,567.0
Mughlai Grill,Mughlai Grill,0.0
Mughlai Grill,Atithi Indian Cuisine,819.0
Mughlai Grill,Sathi,567.0
Mughlai Grill,Clove Garden of India,1340.0
Mughlai Grill,Alpin Bistro,54247.0
Mughlai Grill,Curia On the Drag,54131.0
Mughlai Grill,Blue Boy Pizza,54415.0
Mughlai Grill,Scuola Pizza,54128.0
Clove Garden of India,Atithi Indian Cuisine,1902.0
Clove Garden of India,Empyrean Indian Kitchen & Bar,795.0
Clove Garden of India,The Thonglor New York,1773.0
Clove Garden of India,Imm Thai NYC,1157.0
Clove Garden of India,The Art Students League of New York,1959.0
Clove Garden of India,The Jazz Gallery,1647.0
Clove Garden of India,David Zwirner,1162.0
Clove Garden of India,Conrad New York Downtown,1003.0
Clove Garden of India,Smyth Tribeca,835.0
Clove Garden of India,Central Park,992.0
Clove Garden of India,Prospect Park,2483.0
Clove Garden of India,Brooklyn Botanic Garden,2483.0
Clove Garden of India,Washington Square Park,1226.0
Clove Garden of India,Hunter College Art Galleries,2089.0
Clove Garden of India,Atithi Indian Cuisine,1902.0
Clove Garden of India,Atithi Indian Cuisine,1902.0
Clove Garden of India,Sathi,1502.0
Clove Garden of India,Mughlai Grill,1541.0
Clove Garden of India,Atithi Indian Cuisine,1902.0
Clove Garden of India,Sathi,1502.0
Clove Garden of India,Mughlai Grill,1541.0
Clove Garden of India,Alpin Bistro,53295.0
Clove Garden of India,Curia On the Drag,53180.0
Clove Garden of India,Blue Boy Pizza,53463.0
Clove Garden of India,Scuola Pizza,53176.0
Alpin Bistro,Atithi Indian Cuisine,54729.0
Alpin Bistro,Empyrean Indian Kitchen & Bar,53497.0
Alpin Bistro,The Thonglor New York,53865.0
Alpin Bistro,Imm Thai NYC,53984.0
Alpin Bistro,The Art Students League of New York,54003.0
Alpin Bistro,The Jazz Gallery,54011.0
Alpin Bistro,David Zwirner,53903.0
Alpin Bistro,Conrad New York Downtown,53830.0
Alpin Bistro,Smyth Tribeca,53662.0
Alpin Bistro,Central Park,53819.0
Alpin Bistro,Prospect Park,54724.0
Alpin Bistro,Brooklyn Botanic Garden,54724.0
Alpin Bistro,Washington Square Park,54053.0
Alpin Bistro,Hunter College Art Galleries,54524.0
Alpin Bistro,Atithi Indian Cuisine,54729.0
Alpin Bistro,Atithi Indian Cuisine,54729.0
Alpin Bistro,Sathi,54220.0
